t	s.v( 0.55 )	s.v( 0.05 )
ms	mV	mV
0       	-64.65  	-64.65  
0.4     	-67.91  	-67.91  
0.8     	-69.26  	-69.26  
1.2     	-70.2   	-70.2   
1.6     	-70.94  	-70.94  
2       	-71.56  	-71.56  
2.4     	-72.05  	-72.05  
2.8     	-72.46  	-72.46  
3.2     	-72.8   	-72.8   
3.6     	-73.06  	-73.06  
4       	-73.2   	-73.2   
4.4     	-73.29  	-73.29  
4.8     	-73.34  	-73.33  
5.2     	-73.37  	-73.37  
5.6     	-73.4   	-73.39  
6       	-73.35  	-73.34  
6.4     	-73.18  	-73.18  
6.8     	-73.03  	-73.02  
7.2     	-72.88  	-72.88  
7.6     	-72.72  	-72.72  
8       	-72.6   	-72.6   
8.4     	-72.52  	-72.51  
8.8     	-72.42  	-72.41  
9.2     	-72.3   	-72.3   
9.6     	-72.18  	-72.18  
10      	-72.06  	-72.06  
10.4    	-71.94  	-71.93  
10.8    	-71.76  	-71.76  
11.2    	-71.57  	-71.57  
11.6    	-71.37  	-71.37  
12      	-71.1   	-71.1   
12.4    	-70.5   	-70.49  
12.8    	-67.89  	-67.87  
13.2    	-54.83  	-54.74  
13.6    	8.925   	9.106   
14      	42.13   	42.12   
14.4    	30.81   	30.78   
14.8    	13.71   	13.68   
15.2    	-5.146  	-5.172  
15.6    	-24.22  	-24.24  
16      	-41.83  	-41.85  
16.4    	-55.72  	-55.74  
16.8    	-64.48  	-64.48  
17.2    	-69.52  	-69.52  
17.6    	-72.4   	-72.4   
18      	-74.04  	-74.04  
18.4    	-74.92  	-74.92  
18.8    	-75.37  	-75.36  
19.2    	-75.55  	-75.55  
19.6    	-75.57  	-75.57  
20      	-75.49  	-75.49  
20.4    	-75.36  	-75.36  
20.8    	-75.17  	-75.16  
21.2    	-74.94  	-74.94  
21.6    	-74.71  	-74.71  
22      	-74.49  	-74.49  
22.4    	-74.24  	-74.24  
22.8    	-73.85  	-73.85  
23.2    	-73.5   	-73.5   
23.6    	-73.16  	-73.16  
24      	-72.85  	-72.84  
24.4    	-72.51  	-72.5   
24.8    	-72.16  	-72.16  
25.2    	-71.78  	-71.78  
25.6    	-71.47  	-71.47  
26      	-71.16  	-71.15  
26.4    	-70.73  	-70.73  
26.8    	-69.59  	-69.59  
27.2    	-66.9   	-66.91  
27.6    	-61.65  	-61.67  
28      	-55.38  	-55.41  
28.4    	-47.1   	-47.16  
28.8    	-21.43  	-21.49  
29.2    	41.02   	41.02   
29.6    	34.77   	34.79   
30      	19.2    	19.22   
30.4    	1.282   	1.304   
30.8    	-16.84  	-16.82  
31.2    	-34.05  	-34.04  
31.6    	-48.77  	-48.76  
32      	-59.59  	-59.58  
32.4    	-66.22  	-66.21  
32.8    	-70.07  	-70.07  
33.2    	-72.29  	-72.28  
33.6    	-73.51  	-73.51  
34      	-74.1   	-74.1   
34.4    	-74.4   	-74.4   
34.8    	-74.5   	-74.5   
35.2    	-74.41  	-74.41  
35.6    	-74.23  	-74.23  
36      	-73.98  	-73.98  
36.4    	-73.75  	-73.75  
36.8    	-73.53  	-73.53  
