
SWEPT_VAR_1 = 1.550000000000000e+02    // Bio: Soma \ morphology \ PARAMETER \ diam (um)

t	s.v( 0.05 )
ms	mV
0       	-64.65  
0.1     	-64.73  
0.2     	-64.77  
0.3     	-64.79  
0.4     	-64.82  
0.5     	-64.84  
0.6     	-64.86  
0.7     	-64.87  
0.8     	-64.89  
0.9     	-64.9   
1       	-64.92  
1.1     	-64.93  
1.2     	-64.94  
1.3     	-64.95  
1.4     	-64.97  
1.5     	-64.98  
1.6     	-64.99  
1.7     	-65     
1.8     	-65.01  
1.9     	-65.01  
2       	-65.02  
2.1     	-63.2   
2.2     	-57.55  
2.3     	-50.76  
2.4     	-43.7   
2.5     	-33.44  
2.6     	-0.4828 
2.7     	39.1    
2.8     	44.73   
2.9     	43.7    
3       	41.23   
3.1     	38.25   
3.2     	34.97   
3.3     	31.47   
3.4     	27.78   
3.5     	23.93   
3.6     	19.98   
3.7     	15.95   
3.8     	11.89   
3.9     	7.829   
4       	3.812   
4.1     	-0.1262 
4.2     	-3.954  
4.3     	-7.646  
4.4     	-11.18  
4.5     	-14.54  
4.6     	-17.67  
4.7     	-20.54  
4.8     	-23.15  
4.9     	-25.49  
5       	-27.58  
5.1     	-29.41  
5.2     	-31.01  
5.3     	-32.39  
5.4     	-33.56  
5.5     	-34.54  
5.6     	-35.36  
5.7     	-36.03  
5.8     	-36.57  
5.9     	-37.01  
6       	-37.35  
6.1     	-37.6   
6.2     	-37.79  
6.3     	-37.91  
6.4     	-37.98  
6.5     	-38     
6.6     	-37.98  
6.7     	-37.92  
6.8     	-37.83  
6.9     	-37.71  
7       	-37.56  
7.1     	-37.39  
7.2     	-37.19  
7.3     	-36.98  
7.4     	-36.75  
7.5     	-36.5   
7.6     	-36.24  
7.7     	-35.98  
7.8     	-35.7   
7.9     	-35.42  
8       	-35.14  
8.1     	-34.86  
8.2     	-34.59  
8.3     	-34.33  
8.4     	-34.09  
8.5     	-33.86  
8.6     	-33.64  
8.7     	-33.46  
8.8     	-33.29  
8.9     	-33.16  
9       	-33.05  
9.1     	-32.97  
9.2     	-32.91  
9.3     	-32.88  
9.4     	-32.88  
9.5     	-32.89  
9.6     	-32.92  
9.7     	-32.97  
9.8     	-33.04  
9.9     	-33.11  
10      	-33.19  
10.1    	-33.27  
10.2    	-33.36  
10.3    	-33.44  
10.4    	-33.53  
10.5    	-33.61  
10.6    	-33.68  
10.7    	-33.75  
10.8    	-33.81  
10.9    	-33.87  
11      	-33.91  
11.1    	-33.94  
11.2    	-33.97  
11.3    	-33.99  
11.4    	-33.99  
11.5    	-33.99  
11.6    	-33.98  
11.7    	-33.97  
11.8    	-33.94  
11.9    	-33.91  
12      	-33.87  
12.1    	-32.96  
12.2    	-30.32  
12.3    	-27.31  
12.4    	-24.56  
12.5    	-22.28  
12.6    	-20.57  
12.7    	-19.38  
12.8    	-18.63  
12.9    	-18.23  
13      	-18.08  
13.1    	-18.1   
13.2    	-18.25  
13.3    	-18.47  
13.4    	-18.74  
13.5    	-19.03  
13.6    	-19.32  
13.7    	-19.62  
13.8    	-19.9   
13.9    	-20.17  
14      	-20.43  
14.1    	-20.66  
14.2    	-20.89  
14.3    	-21.09  
14.4    	-21.28  
14.5    	-21.46  
14.6    	-21.62  
14.7    	-21.78  
14.8    	-21.92  
14.9    	-22.05  
15      	-22.17  
15.1    	-22.29  
15.2    	-22.4   
15.3    	-22.5   
15.4    	-22.6   
15.5    	-22.7   
15.6    	-22.79  
15.7    	-22.88  
15.8    	-22.96  
15.9    	-23.04  
16      	-23.12  
16.1    	-23.2   
16.2    	-23.28  
16.3    	-23.35  
16.4    	-23.43  
16.5    	-23.5   
16.6    	-23.57  
16.7    	-23.64  
16.8    	-23.71  
16.9    	-23.77  
17      	-23.84  
17.1    	-23.91  
17.2    	-23.97  
17.3    	-24.04  
17.4    	-24.1   
17.5    	-24.17  
17.6    	-24.23  
17.7    	-24.29  
17.8    	-24.36  
17.9    	-24.42  
18      	-24.48  
18.1    	-24.54  
18.2    	-24.6   
18.3    	-24.66  
18.4    	-24.72  
18.5    	-24.78  
18.6    	-24.84  
