t	s.v( 0.05 )	dendA1_0.v( 0.5 )
ms	mV	mV
0       	-64.65  	-64.65  
0.1     	-64.77  	-64.76  
0.2     	-64.86  	-64.86  
0.3     	-64.95  	-64.94  
0.4     	-65.02  	-65.01  
0.5     	-65.1   	-65.09  
0.6     	-65.17  	-65.16  
0.7     	-65.24  	-65.23  
0.8     	-65.31  	-65.3   
0.9     	-65.38  	-65.37  
1       	-65.44  	-65.44  
1.1     	-65.51  	-65.5   
1.2     	-65.58  	-65.57  
1.3     	-65.64  	-65.64  
1.4     	-65.71  	-65.7   
1.5     	-65.77  	-65.76  
1.6     	-65.83  	-65.83  
1.7     	-65.9   	-65.89  
1.8     	-65.96  	-65.95  
1.9     	-66.02  	-66.01  
2       	-66.08  	-66.08  
2.1     	-66.14  	-66.14  
2.2     	-66.2   	-66.2   
2.3     	-66.26  	-66.26  
2.4     	-66.32  	-66.31  
2.5     	-66.38  	-66.37  
2.6     	-66.43  	-66.43  
2.7     	-66.49  	-66.48  
2.8     	-66.53  	-66.53  
2.9     	-66.57  	-66.56  
3       	-66.59  	-66.59  
3.1     	-66.61  	-66.61  
3.2     	-66.63  	-66.63  
3.3     	-66.65  	-66.65  
3.4     	-66.68  	-66.68  
3.5     	-66.7   	-66.7   
3.6     	-66.72  	-66.72  
3.7     	-66.74  	-66.74  
3.8     	-66.76  	-66.76  
3.9     	-66.77  	-66.77  
4       	-66.78  	-66.78  
4.1     	-66.79  	-66.79  
4.2     	-66.8   	-66.8   
4.3     	-66.8   	-66.8   
4.4     	-66.8   	-66.8   
4.5     	-66.78  	-66.79  
4.6     	-66.75  	-66.76  
4.7     	-66.72  	-66.73  
4.8     	-66.68  	-66.7   
4.9     	-66.64  	-66.66  
5       	-66.6   	-66.61  
5.1     	-66.56  	-66.57  
5.2     	-66.51  	-66.53  
5.3     	-66.47  	-66.49  
5.4     	-66.43  	-66.45  
5.5     	-66.39  	-66.41  
5.6     	-66.35  	-66.36  
5.7     	-66.3   	-66.31  
5.8     	-66.26  	-66.26  
5.9     	-66.21  	-66.21  
6       	-66.14  	-66.15  
6.1     	-66.07  	-66.06  
6.2     	-65.98  	-65.97  
6.3     	-65.88  	-65.87  
6.4     	-65.79  	-65.78  
6.5     	-65.69  	-65.69  
6.6     	-65.61  	-65.6   
6.7     	-65.52  	-65.51  
6.8     	-65.43  	-65.42  
6.9     	-65.33  	-65.33  
7       	-65.22  	-65.22  
7.1     	-65.07  	-65.07  
7.2     	-64.86  	-64.87  
7.3     	-64.59  	-64.62  
7.4     	-64.3   	-64.34  
7.5     	-64     	-64.04  
7.6     	-63.68  	-63.74  
7.7     	-63.35  	-63.42  
7.8     	-62.99  	-63.07  
7.9     	-62.53  	-62.63  
8       	-61.83  	-61.97  
8.1     	-60.66  	-60.88  
8.2     	-58.91  	-59.25  
8.3     	-56.82  	-57.27  
8.4     	-54.98  	-55.46  
8.5     	-53.45  	-53.94  
8.6     	-52.13  	-52.61  
8.7     	-50.93  	-51.4   
8.8     	-49.78  	-50.23  
8.9     	-48.59  	-49.03  
9       	-47.26  	-47.69  
