t	s.v( 0.05 )	s.gna_hh_wbm( 0.05 )
ms	mV	mho/cm2
0       	-65     	6.801e-07
0.1     	-65.1   	6.621e-07
0.2     	-65.17  	6.451e-07
0.3     	-65.23  	6.307e-07
0.4     	-65.29  	6.177e-07
0.5     	-65.34  	6.055e-07
0.6     	-65.4   	5.939e-07
0.7     	-65.45  	5.828e-07
0.8     	-65.5   	5.721e-07
0.9     	-65.55  	5.618e-07
1       	-65.6   	5.518e-07
1.1     	-65.65  	5.421e-07
1.2     	-65.7   	5.328e-07
1.3     	-65.74  	5.236e-07
1.4     	-65.79  	5.148e-07
1.5     	-65.84  	5.061e-07
1.6     	-65.88  	4.977e-07
1.7     	-65.93  	4.895e-07
1.8     	-65.97  	4.815e-07
1.9     	-66.01  	4.737e-07
2       	-66.06  	4.67e-07
2.1     	-65.66  	5.023e-07
2.2     	-64.47  	7.429e-07
2.3     	-63.02  	1.251e-06
2.4     	-61.5   	2.149e-06
2.5     	-60     	3.662e-06
2.6     	-58.54  	6.071e-06
2.7     	-57.1   	9.893e-06
2.8     	-55.63  	1.583e-05
2.9     	-53.91  	2.65e-05
3       	-50.61  	5.776e-05
3.1     	-36.69  	0.0007377
3.2     	4.13    	0.01473 
3.3     	27.42   	0.0108  
3.4     	37.52   	0.006643
3.5     	39.09   	0.004045
3.6     	36.29   	0.00246 
3.7     	32.38   	0.001499
3.8     	28.65   	0.0009185
3.9     	25.44   	0.0005694
4       	22.75   	0.0003603
4.1     	20.48   	0.0002358
4.2     	18.52   	0.0001623
4.3     	16.81   	0.0001197
4.4     	15.26   	9.557e-05
4.5     	13.85   	8.266e-05
4.6     	12.54   	7.649e-05
4.7     	11.3    	7.441e-05
4.8     	10.12   	7.48e-05
4.9     	8.993   	7.67e-05
5       	7.903   	7.955e-05
