
SWEPT_VAR_1 = 5.0    // Syn: Source PP \ NetStim \ PARAMETER \ interval (ms)

t	s.v( 0.05 )
ms	mV
0       	-64.65  
0.4     	-65.51  
0.8     	-66.35  
1.2     	-67.15  
1.6     	-67.92  
2       	-68.66  
2.4     	-68.73  
2.8     	-66.29  
3.2     	-61.26  
3.6     	-54.04  
4       	-33.85  
4.4     	44.63   
4.8     	34.14   
5.2     	17.63   
5.6     	0.8126  
6       	-13.96  
6.4     	-26.89  
6.8     	-36.58  
7.2     	-41.26  
7.6     	-42.42  
8       	-41.53  
8.4     	-39.31  
8.8     	-36.05  
9.2     	-31.82  
9.6     	-27.55  
10      	-24.68  
10.4    	-23.66  
10.8    	-24.13  
11.2    	-25.26  
11.6    	-26.31  
12      	-27.01  
12.4    	-27.13  
12.8    	-26.82  
13.2    	-26.19  
13.6    	-25.55  
14      	-24.89  
14.4    	-24.31  
14.8    	-23.81  
15.2    	-23.28  
15.6    	-22.75  
16      	-22.23  
16.4    	-21.67  
16.8    	-21.16  
17.2    	-20.73  
17.6    	-20.29  
18      	-19.87  
18.4    	-19.48  
18.8    	-19.18  
19.2    	-18.89  
19.6    	-18.61  
20      	-18.23  
20.4    	-17.85  
20.8    	-17.53  
21.2    	-17.21  
21.6    	-16.89  
22      	-16.66  
22.4    	-16.42  
22.8    	-16.16  
23.2    	-15.93  
23.6    	-15.73  
24      	-15.57  
24.4    	-15.41  
24.8    	-15.23  
25.2    	-15.08  
25.6    	-14.94  
26      	-14.83  
26.4    	-14.74  
26.8    	-14.65  
27.2    	-14.57  
27.6    	-14.49  
28      	-14.43  
28.4    	-14.4   
28.8    	-14.37  
29.2    	-14.34  
29.6    	-14.3   
30      	-14.29  
30.4    	-14.23  
30.8    	-14.15  
31.2    	-14.08  
31.6    	-14.01  
32      	-13.94  
32.4    	-13.89  
32.8    	-13.83  
33.2    	-13.78  
33.6    	-13.8   
34      	-13.83  
34.4    	-13.87  
34.8    	-13.88  
35.2    	-13.91  
35.6    	-13.93  
36      	-13.94  
36.4    	-13.95  
36.8    	-13.98  
37.2    	-13.96  
37.6    	-13.92  
38      	-13.93  
38.4    	-13.93  
38.8    	-13.92  
39.2    	-13.93  
39.6    	-13.92  
40      	-13.94  
40.4    	-13.96  
40.8    	-13.92  
41.2    	-13.96  
41.6    	-13.96  
42      	-13.99  
42.4    	-14.02  
42.8    	-13.97  
43.2    	-13.93  
43.6    	-13.94  
44      	-13.91  
44.4    	-13.9   
44.8    	-13.9   
45.2    	-13.93  
45.6    	-14.03  
46      	-14.05  
46.4    	-13.96  
46.8    	-13.91  
47.2    	-13.86  
47.6    	-13.8   
48      	-13.83  
48.4    	-13.82  
48.8    	-13.8   
49.2    	-13.78  
49.6    	-13.71  
50      	-13.64  
50.4    	-13.67  
50.8    	-13.72  
51.2    	-13.74  
51.6    	-13.71  
52      	-13.72  
52.4    	-13.75  
52.8    	-13.78  
53.2    	-13.75  
53.6    	-13.74  
54      	-13.81  
54.4    	-13.85  
54.8    	-13.81  
55.2    	-13.76  
55.6    	-13.82  
56      	-13.85  
56.4    	-13.86  
56.8    	-13.89  
57.2    	-13.85  
57.6    	-13.84  
58      	-13.84  
58.4    	-13.83  
58.8    	-13.79  
59.2    	-13.73  
59.6    	-13.72  
60      	-13.71  
60.4    	-13.74  
60.8    	-13.77  
61.2    	-13.79  
61.6    	-13.79  
62      	-13.78  
62.4    	-13.78  
62.8    	-13.73  
63.2    	-13.71  
63.6    	-13.77  
64      	-13.77  
64.4    	-13.78  
64.8    	-13.77  
65.2    	-13.77  
65.6    	-13.76  
66      	-13.73  
66.4    	-13.68  
66.8    	-13.63  
67.2    	-13.63  
67.6    	-13.67  
68      	-13.66  
68.4    	-13.63  
68.8    	-13.58  
69.2    	-13.58  
69.6    	-13.57  
70      	-13.56  
70.4    	-13.51  
70.8    	-13.5   
71.2    	-13.43  
71.6    	-13.38  
72      	-13.36  
72.4    	-13.36  
72.8    	-13.36  
73.2    	-13.4   
73.6    	-13.4   
74      	-13.42  
74.4    	-13.45  
74.8    	-13.44  
75.2    	-13.43  
75.6    	-13.37  
