
SWEPT_VAR_1 = 75.0    // Syn: Source PP \ NetStim \ PARAMETER \ interval (ms)

t	s.v( 0.05 )
ms	mV
0       	-64.65  
0.4     	-65.51  
0.8     	-66.35  
1.2     	-67.15  
1.6     	-67.92  
2       	-68.66  
2.4     	-69.37  
2.8     	-70.05  
3.2     	-70.7   
3.6     	-71.31  
4       	-71.9   
4.4     	-72.45  
4.8     	-72.98  
5.2     	-73.49  
5.6     	-73.96  
6       	-74.4   
6.4     	-74.82  
6.8     	-75.21  
7.2     	-75.58  
7.6     	-75.93  
8       	-76.26  
8.4     	-76.57  
8.8     	-76.85  
9.2     	-77.11  
9.6     	-77.35  
10      	-77.57  
10.4    	-77.77  
10.8    	-77.95  
11.2    	-78.1   
11.6    	-78.18  
12      	-78.02  
12.4    	-77.24  
12.8    	-73.98  
13.2    	-59.97  
13.6    	5.643   
14      	43.03   
14.4    	30.88   
14.8    	13.72   
15.2    	-4.161  
15.6    	-22.08  
16      	-41.03  
16.4    	-57.23  
16.8    	-67.35  
17.2    	-73.01  
17.6    	-76.16  
18      	-77.97  
18.4    	-79.05  
18.8    	-79.74  
19.2    	-80.19  
19.6    	-80.5   
20      	-80.73  
20.4    	-80.9   
20.8    	-81.02  
21.2    	-81.12  
21.6    	-81.2   
22      	-81.25  
22.4    	-81.28  
22.8    	-81.3   
23.2    	-81.3   
23.6    	-81.29  
24      	-81.27  
24.4    	-81.24  
24.8    	-81.21  
25.2    	-81.18  
25.6    	-81.15  
26      	-81.12  
26.4    	-81.08  
26.8    	-81.04  
27.2    	-81     
27.6    	-80.94  
28      	-80.89  
28.4    	-80.82  
28.8    	-80.66  
29.2    	-80.19  
29.6    	-78.92  
30      	-74.18  
30.4    	-55.72  
30.8    	26.22   
31.2    	41.8    
31.6    	28.4    
32      	10.98   
32.4    	-6.808  
32.8    	-24.86  
33.2    	-43.65  
33.6    	-58.97  
34      	-68.29  
34.4    	-73.5   
34.8    	-76.41  
35.2    	-78.09  
35.6    	-79.1   
36      	-79.74  
36.4    	-80.16  
36.8    	-80.44  
37.2    	-80.64  
37.6    	-80.78  
38      	-80.88  
38.4    	-80.96  
38.8    	-81.01  
39.2    	-81.05  
39.6    	-81.06  
40      	-81.07  
40.4    	-81.08  
40.8    	-81.08  
41.2    	-81.08  
41.6    	-81.08  
42      	-81.08  
42.4    	-81.08  
42.8    	-81.08  
43.2    	-81.08  
43.6    	-81.08  
44      	-81.08  
44.4    	-81.07  
44.8    	-81.06  
45.2    	-81.04  
45.6    	-81.03  
46      	-81.01  
46.4    	-80.99  
46.8    	-80.97  
47.2    	-80.96  
47.6    	-80.94  
48      	-80.93  
48.4    	-80.92  
48.8    	-80.9   
49.2    	-80.89  
49.6    	-80.88  
50      	-80.88  
50.4    	-80.88  
50.8    	-80.88  
51.2    	-80.89  
51.6    	-80.9   
52      	-80.91  
52.4    	-80.93  
52.8    	-80.95  
53.2    	-80.98  
53.6    	-81.01  
54      	-81.04  
54.4    	-81.08  
54.8    	-81.12  
55.2    	-81.16  
55.6    	-81.2   
56      	-81.24  
56.4    	-81.28  
56.8    	-81.32  
57.2    	-81.35  
57.6    	-81.37  
58      	-81.39  
58.4    	-81.4   
58.8    	-81.41  
59.2    	-81.4   
59.6    	-81.39  
60      	-81.37  
60.4    	-81.35  
60.8    	-81.32  
61.2    	-81.3   
61.6    	-81.28  
62      	-81.27  
62.4    	-81.26  
62.8    	-81.25  
63.2    	-81.25  
63.6    	-81.25  
64      	-81.25  
64.4    	-81.26  
64.8    	-81.28  
65.2    	-81.29  
65.6    	-81.32  
66      	-81.34  
66.4    	-81.37  
66.8    	-81.4   
67.2    	-81.43  
67.6    	-81.45  
68      	-81.47  
68.4    	-81.48  
68.8    	-81.49  
69.2    	-81.51  
69.6    	-81.52  
70      	-81.54  
70.4    	-81.56  
70.8    	-81.58  
71.2    	-81.6   
71.6    	-81.61  
72      	-81.63  
72.4    	-81.64  
72.8    	-81.65  
73.2    	-81.65  
73.6    	-81.65  
74      	-81.64  
74.4    	-81.62  
74.8    	-81.6   
75.2    	-81.58  
75.6    	-81.56  
76      	-81.55  
